idx=10
valid_pixels=5200 / total_pixels=11780
ch	label	mae	rmse	valid_pixels
0	te	33.34571514	64.42218323	5200
1	ti	206.538125	416.6082831	5200
2	na[0]	5.590746073e+21	inf	5200
3	na[1]	5.486529733e+18	inf	5200
4	na[2]	1.228605591e+21	inf	5200
5	na[3]	6.37171224e+17	inf	5200
6	na[4]	1.257162108e+17	inf	5200
7	na[5]	9.064043668e+16	inf	5200
8	na[6]	9.379920841e+16	2.262423859e+17	5200
9	na[7]	1.724202847e+17	inf	5200
10	na[8]	2.266005842e+16	3.55450682e+16	5200
11	na[9]	5.540702975e+16	9.711186304e+16	5200
12	ua[0]	1430.943942	2492.49695	5200
13	ua[1]	8673.905385	13341.82222	5200
14	ua[2]	17.70357272	34.83661314	5200
15	ua[3]	2905.699423	5356.378846	5200
16	ua[4]	4806.316923	6859.316257	5200
17	ua[5]	7802.191538	11333.42132	5200
18	ua[6]	8793.57	13371.36114	5200
19	ua[7]	8353.241538	11672.03444	5200
20	ua[8]	6774.743846	9470.041877	5200
21	ua[9]	7149.403077	10129.3312	5200
