idx=0
valid_pixels=6274 / total_pixels=11780
ch	label	mae	rmse	valid_pixels
0	te	0.1819157404	1.066862347	6274
1	ti	0.1091011395	0.587937444	6274
2	na[0]	5.8652862e+21	inf	6274
3	na[1]	3.454017573e+18	inf	6274
4	na[2]	6.625228328e+20	inf	6274
5	na[3]	3.441306156e+17	inf	6274
6	na[4]	3.417378526e+15	2.419354694e+16	6274
7	na[5]	5.014673473e+13	8.728029831e+13	6274
8	na[6]	1.79834374e+10	2.142418839e+10	6274
9	na[7]	4392987926	6306523162	6274
10	na[8]	2937489564	3786560246	6274
11	na[9]	1669653214	2006619651	6274
12	ua[0]	87.060677	211.1306539	6274
13	ua[1]	724.9784029	1074.120968	6274
14	ua[2]	4.081164578	8.764239972	6274
15	ua[3]	370.569015	497.3778511	6274
16	ua[4]	443.5104399	597.5896501	6274
17	ua[5]	579.3649187	870.6791504	6274
18	ua[6]	655.0522792	833.5602936	6274
19	ua[7]	417.6505021	544.7043201	6274
20	ua[8]	467.1271916	614.7697538	6274
21	ua[9]	408.0278132	531.7998526	6274
