idx=10
valid_pixels=5200 / total_pixels=11780
ch	label	mae	rmse	valid_pixels
0	te	49.23246695	94.39363163	5200
1	ti	147.7091587	280.4815529	5200
2	na[0]	7.206992143e+21	inf	5200
3	na[1]	5.945129118e+18	inf	5200
4	na[2]	1.295425928e+21	inf	5200
5	na[3]	8.709060959e+17	inf	5200
6	na[4]	2.042108805e+17	inf	5200
7	na[5]	9.828612252e+16	inf	5200
8	na[6]	1.077248446e+17	inf	5200
9	na[7]	1.578551725e+17	inf	5200
10	na[8]	2.779188516e+16	4.310125504e+16	5200
11	na[9]	7.530233743e+16	1.245193026e+17	5200
12	ua[0]	1917.504231	3418.562815	5200
13	ua[1]	11430.66692	16843.58415	5200
14	ua[2]	19.65412109	35.42879913	5200
15	ua[3]	3752.236923	6211.928083	5200
16	ua[4]	5300.730385	8012.578223	5200
17	ua[5]	11639.46231	17415.15581	5200
18	ua[6]	14335.22	22612.0959	5200
19	ua[7]	10884.37385	14579.85222	5200
20	ua[8]	8230.035385	11627.16866	5200
21	ua[9]	8663.321538	12827.09747	5200
