idx=0
valid_pixels=5200 / total_pixels=11780
ch	label	mae	rmse	valid_pixels
2	na[0]	4.572893757e+21	inf	5200
3	na[1]	7.281790558e+18	inf	5200
4	na[2]	4.145082888e+20	inf	5200
5	na[3]	6.628992277e+17	inf	5200
6	na[4]	2.515647505e+15	1.91009789e+16	5200
7	na[5]	6.97893597e+13	1.372399433e+14	5200
8	na[6]	1.810957216e+11	7.702851307e+11	5200
9	na[7]	8215011404	2.184206779e+10	5200
10	na[8]	3733224565	4746358778	5200
11	na[9]	4123367834	5562871790	5200
12	ua[0]	150.6590505	942.4022985	5200
13	ua[1]	378.9412019	848.9403494	5200
14	ua[2]	1.940142353	6.449781274	5200
15	ua[3]	318.6608654	823.4451306	5200
16	ua[4]	369.1743029	892.2412092	5200
17	ua[5]	358.6916346	831.3879998	5200
18	ua[6]	244.5890385	513.0106372	5200
19	ua[7]	243.5179808	526.0533345	5200
20	ua[8]	247.5423077	511.132727	5200
21	ua[9]	232.3092788	447.0041955	5200
